name,reason,explanation
Leonard Street Lardner Street,street lighting density lowered the risk; intersection controls lowered the risk; monitored-road status lowered the risk,The Corridor: Leonard Street Lardner Street scored a low risk index because the street's low street lighting density reduced visibility and made it harder to detect potential hazards. The fact that the corridor was monitored by traffic control personnel helped to reinforce the road and deter drivers.
Regina Street,monitored-road status lowered the risk; distance from help lowered the risk; street lighting density lowered the risk,"The Corridor Regina Street scored low on the risk index because the street is monitored, which helps keep it safe, and it is relatively close to the help services, which reduces the likelihood of emergencies, and the street has a good amount of streetlights, which provide sufficient lighting, resulting in a very low risk."
Densmore Road Barlow Street,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,This corridor scored as it did because distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk.
Densmore Road Jeanes Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk,"The corridor scored low on the risk index because it's located in a residential area with a good relationship between the road and the nearby help station, yet it's not as heavily trafficked as other roads in the area, resulting in a lower risk of accidents. The distance from the help station and the presence of intersection controls further reduced the risk of accidents."
Dumont Road Regina Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk,This corridor scored as it did because distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk.
Susan Road,intersection controls lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Corridor: Susan Road was rated 7 out of 100 because it has a moderate level of traffic control measures in place, including intersection controls and monitored-road status, which helped to reduce the risk of accidents. Additionally, the street lighting density is relatively low, which may indicate a reduced amount of visibility and attention at night, contributing to the low risk score."
Norwalk Road Kent Lane,street lighting density lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk,This corridor scored as it did because street lighting density lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk.
Suffolk Place,distance from help lowered the risk; monitored-road status raised the risk; intersection controls lowered the risk,"The Corridor: Suffolk Place is at a low risk because it has a low proximity to emergency services, which reduced the risk of accidents. Additionally, the area's current road condition and lack of traffic restrictions helped to lower the risk of accidents."
North Bonsall Street,street lighting density lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The Corridor of North Bonsall Street scored a moderate risk score due to moderate concerns about street lighting, which lowered the overall risk, and moderate concerns about monitored-road status, which also contributed to the high risk. Additionally, the corridor had low foot traffic, which likely reduced the risk."
North Lemon Hill Drive,intersection controls lowered the risk; street lighting density lowered the risk; monitored-road status raised the risk,"The North Lemon Hill Drive corridor has a low risk level due to the following factors: the street layout and design at the intersection controlled the flow of traffic, and street lighting in the area helped to reduce crime. Additionally, the high volume of foot traffic in the area increased the risk, which was mitigated by the street design."
Lankenau Avenue,street lighting density lowered the risk; monitored-road status lowered the risk; street length lowered the risk,"The Corridor: Lankenau Avenue scored a low risk index because the street lighting was not properly maintained, which reduced visibility for drivers, and the area was not well-monitored, leading to potential issues. Additionally, the overall length of the corridor was relatively short, which may have contributed to the lower risk."
West Dakota Street,monitored-road status lowered the risk; street length lowered the risk; intersection controls raised the risk,"Corridor West Dakota Street scored relatively low on the risk index because the road was monitored, which lowered the risk; and the street is relatively short, which also lowered the risk, but the presence of intersection controls increased the risk."
Leopard Street,street lighting density raised the risk; monitored-road status raised the risk; foot traffic lowered the risk,"Here are two plain sentences:

The Leopard Street corridor scored 69 out of 100 due to the fact that it has a moderate risk of crime, which is increased by poorly lit streets and decreased by the presence of foot traffic. The raised risk of crime is also exacerbated by the fact that this corridor is located in a monitored area."
North Pennock Street,foot traffic lowered the risk; intersection controls raised the risk; monitored-road status raised the risk,"Here are the rewritten sentences:

The North Pennock Street corridor scored a 55 out of 100 because of the low foot traffic and moderate level of intersection controls in place, which reduced the risk of collisions. The reduced vehicle traffic volume also contributed to the overall moderate risk level."
North Daggett Street,street lighting density raised the risk; monitored-road status lowered the risk; street length raised the risk,"The North Daggett Street corridor scored a moderate risk due to its relatively low street lighting density, which raised its risk score. The monitored-road status also contributed to this moderate risk, as it reduced the corridor's overall safety."
Wells Street,intersection controls lowered the risk; monitored-road status lowered the risk; distance from help raised the risk,"The Wells Street corridor scored low on the risk index because it has a controlled intersection, which reduces the risk of accidents. The presence of a monitored road also contributes to the lower risk score."
Ramsey Street,intersection controls lowered the risk; street lighting density lowered the risk; foot traffic lowered the risk,"The Ramay Street corridor has a relatively low risk due to the street's narrow width and low foot traffic, which suggests that the risk of crime is lower. Additionally, the improved street lighting and reduced intersection controls, which slowed down traffic, have also contributed to the lower risk."
Parkdale Road Deerpath Lane,monitored-road status lowered the risk; street lighting density raised the risk; intersection controls lowered the risk,This corridor scored as it did because monitored-road status lowered the risk; street lighting density raised the risk; intersection controls lowered the risk.
Berges Street,monitored-road status raised the risk; distance from help raised the risk; vehicle traffic volume raised the risk,"The Corridor Berges Street is at high risk due to the high number of people walking or driving through it, which raised the risk of accidents. The fact that it's not well-maintained and has a raised road status reduced its safety."
Abigail Street,distance from help raised the risk; intersection controls raised the risk; street length raised the risk,"Abigail Street, a two-block road in the downtown area, has a moderate risk level due to its proximity to a high-rise office building and a crowded intersection, which increased the number of emergency vehicles responding to calls. The road's length also contributed to the moderate risk, as it is a relatively straight stretch of road with few side streets to provide alternative routes."
East Arizona Street,intersection controls lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"The Corridor: East Arizona Street scored a moderate risk index because it has a moderate number of people walking and biking through it, which lowered the risk of accidents. Additionally, there is moderate traffic congestion at this intersection, which raised the risk of accidents."
East Rush Street,monitored-road status lowered the risk; street lighting density lowered the risk; intersection controls raised the risk,"The East Rush Street corridor scored low on the risk index because it has a moderate level of road monitoring and adequate street lighting, which reduced the risk of accidents. Additionally, the street has moderate traffic control measures in place, such as traffic signals, which helped to reduce the likelihood of accidents."
East William Street,monitored-road status lowered the risk; intersection controls lowered the risk; street length lowered the risk,"Here are two plain sentences:

Corridor East William Street has a relatively low risk due to the presence of a monitored road status, which is lowered the risk; the presence of intersection controls also reduced the risk. Additionally, the length of the corridor, being relatively short, lowered the overall risk."
East Wensley Street,monitored-road status lowered the risk; street length raised the risk; intersection controls lowered the risk,"Due to the road being monitored, the risk of accidents was lowered; however, the length of the corridor also played a role, increasing the risk of accidents. Additionally, the location of the corridor relative to the help service was also a factor, which raised the overall risk."
Dunton Street,intersection controls lowered the risk; street lighting density raised the risk; monitored-road status raised the risk,"The Dunton Street corridor scored a moderate risk because the intersection there was controlled, which lowered the risk of accidents and injuries, and the street's low lighting density increased the risk of accidents. Additionally, the corridor's monitored-road status, which is typically a sign of maintenance or construction, raised the risk of accidents due to reduced visibility and safety measures."
Croatan Place,monitored-road status lowered the risk; street lighting density raised the risk; foot traffic lowered the risk,"The Corridor: Croatan Place is a low-risk area due to the relatively low risk from monitored road status and street lighting density, indicating that the presence of these factors reduced the risk of accidents. Additionally, the moderate street length may have mitigated the risk by providing a more linear and controlled environment."
East Commissioner Street Braddock Street,street lighting density raised the risk; intersection controls raised the risk; monitored-road status raised the risk,This corridor scored as it did because street lighting density raised the risk; intersection controls raised the risk; monitored-road status raised the risk.
Chilton Road Wyndom Road,intersection controls lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The corridor scored a low risk index of 10 out of 100 because the intersection controls and monitored-road status have helped to reduce traffic congestion and improve safety, and the street lighting density has improved visibility for drivers, all contributing to a low risk level."
Souder Street,monitored-road status lowered the risk; distance from help raised the risk; street lighting density lowered the risk,"The Corridor: Souder Street has a lower risk due to the fact that it is monitored by a police presence, which helps to maintain order and deter crime. The street is also well-lit, which reduces the risk of crime by making it harder for perpetrators to operate."
Calvert Street,street lighting density lowered the risk; foot traffic lowered the risk; monitored-road status raised the risk,"The Corridor of Calvert Street scored a moderate risk due to the lowered street lighting density, which reduced visibility and made it more difficult for drivers to navigate the area. Additionally, the lower foot traffic in the corridor, combined with the monitored-road status, elevated the risk level."
South Patton Street,intersection controls lowered the risk; monitored-road status lowered the risk; distance from help raised the risk,"Here are two possible explanations:

The corridor scored low on the risk index because the road was monitored and had improved controls in place, which helped to reduce the risk of accidents. Additionally, the distance from the help station increased the risk, as it made it more difficult for emergency responders to reach the area quickly in case of an incident."
West Palmer Street,monitored-road status raised the risk; foot traffic lowered the risk; distance from help raised the risk,"Corridor West Palmer Street had a moderate risk due to its status as a monitored road, which raised the risk, and the fact that it had a moderate amount of foot traffic, which also contributed to the risk. Additionally, its distance from the city's emergency services raised the risk."
Leon Street Etta Street,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,This corridor scored as it did because distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk.
South Bailey Street,intersection controls lowered the risk; monitored-road status raised the risk; distance from help raised the risk,"The South Bailey Street corridor is scored 55 out of 100 due to concerns that the intersection there lowers the risk of accidents. The city's decision to not monitor the road status at this intersection may also increase the risk, as it may not be properly maintained or monitored."
Moravian Street,intersection controls lowered the risk; street lighting density lowered the risk; distance from help raised the risk,"The Moravian Street corridor scored low on the risk index because it has low intersection controls, which reduced the number of accidents and near-misses, and high street lighting density, which helped to illuminate the area and improve visibility. Additionally, the distance from help stations in the area, which is about 1 mile away, also contributed to its low risk."
South Rosewood Street Pemberton Street,intersection controls lowered the risk; distance from help raised the risk; monitored-road status raised the risk,"The Corridor: South Rosewood Street to Pemberton Street has a low risk index because it is located at the intersection of two main roads, which reduced the risk of accidents. Additionally, the distance from the road to the intersection and the monitored road status did not significantly impact the risk in this case."
Clymer Street,foot traffic lowered the risk; street lighting density raised the risk; intersection controls raised the risk,"Clymer Street has a moderate risk due to the lower foot traffic, which lowered the risk. The street's moderate level of street lighting density also raised the risk, contributing to the overall moderate risk score."
Proctor Road Burgess Street,monitored-road status lowered the risk; distance from help lowered the risk; street lighting density lowered the risk,"Corridor Proctor Road Burgess Street is in a low-risk area due to its monitored-road status, which means it is well-maintained and safe, lowering the risk of accidents. The fact that it is located farther away from help services reduces the risk of emergency responses."
Selma Street,monitored-road status lowered the risk; distance from help lowered the risk; street lighting density lowered the risk,"The Corridor of Selma Street was rated as low risk because it is a monitored road with good lighting, which lowered the risk of crime. Its relatively short distance from the city's help services also contributed to this low risk."
Proctor Place,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Proctor Place corridor scored low on the risk index due to its low distance from help. Additionally, it received good lighting conditions, which helped to reduce the risk of accidents."
Densmore Road,distance from help lowered the risk; intersection controls lowered the risk; monitored-road status lowered the risk,"The Densmore Road corridor scored low on the risk index because it is located near a reduced help point, which lowered the risk of emergency services arriving quickly. Additionally, the road is monitored, which helps authorities to quickly respond to incidents."
Piermont Street,monitored-road status lowered the risk; distance from help lowered the risk; street lighting density lowered the risk,"The Corridor of Piermont Street scored a low risk due to the presence of monitored-road status, which reduced the risk of speeding, and the fact that it is 2.5 miles from the maintenance area, which lowered the risk of accidents. Additionally, the street is well-lit, which lowered the risk of accidents at night."
Shawmont Avenue Nixon Street,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status raised the risk,"The Shawmont Avenue Nixon Street corridor scored a low risk due to the presence of traffic calming measures, which reduced the risk of accidents at the intersection. Additionally, the location of the corridor away from the main thoroughfares also contributed to the low risk score."
Pennock Street,street length lowered the risk; street lighting density raised the risk; foot traffic lowered the risk,"The Pennock Street corridor has a moderate risk level due to its relatively short length, which may contribute to reduced visibility and safety, as well as a lack of street lighting, which can make it difficult to see pedestrians and vehicles. Additionally, the street's relatively low foot traffic may also contribute to increased risk."
Reno Street,monitored-road status lowered the risk; street lighting density raised the risk; intersection controls raised the risk,"Here are two sentences:

The Corridor Reno Street has a moderate risk due to the combination of lower monitored-road status and higher street lighting density, which increased the overall risk. This is because the intersection controls in the area have also been implemented to reduce congestion and improve safety."
South 82nd Street Harley Avenue Pontiac Avenue,monitored-road status lowered the risk; distance from help lowered the risk; street lighting density lowered the risk,This corridor scored as it did because monitored-road status lowered the risk; distance from help lowered the risk; street lighting density lowered the risk.
Appletree Court,intersection controls lowered the risk; street lighting density lowered the risk; vehicle traffic volume raised the risk,"Appletree Court has a low risk in the Corridor because its intersection is controlled, which helps regulate traffic flow, and its street lighting is sufficient, reducing the number of vehicles that need to stop at intersections. Additionally, the area's moderate traffic volume contributes to the overall safety of the corridor."
Centaur Place,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Centaur Place corridor scored low on the risk index because it is located near a major intersection and has a lower-than-average number of police patrols, which reduced the likelihood of an incident occurring. Additionally, its proximity to a busy road means that drivers are more likely to be speeding, which lowers the risk of accidents."
Orpheus Place,monitored-road status lowered the risk; distance from help lowered the risk; intersection controls lowered the risk,"Here are two plain sentences:

Orpheus Place has a low risk index because it has a monitored road status, which indicates that there are fewer vehicles on the road, and because it is located close to the city center, which has controls in place to manage traffic, thereby reducing congestion and the risk of accidents. Additionally, it is located at a relatively safe distance from the city's main transportation hubs, which helps to reduce the risk of emergency response times."
Mercury Place Mars Place,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status lowered the risk,This corridor scored as it did because intersection controls lowered the risk; distance from help lowered the risk; monitored-road status lowered the risk.
Mars Place,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status lowered the risk,"The Corridor: Mars Place was rated low-risk because it has limited intersection controls, which reduced the number of traffic signals and the potential for accidents, and because it is located in a rural area with limited access to emergency services, which reduced the likelihood of a crash occurring. Additionally, the road's current status is being monitored, which allows for quick response times in the event of an incident."
Angelo Place,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status lowered the risk,"Here are two plain sentences:

The Corridor: Angelo Place scored a low risk index because it has many near-help stations, which lowered the risk of emergency calls. Additionally, the street has good intersection controls that help prevent accidents, and the road's overall condition has been monitored, which also lowered the risk."
Ryerson Place,street lighting density raised the risk; monitored-road status lowered the risk; intersection controls raised the risk,"Here are two plain sentences:

The Corridor: Ryerson Place has a moderate risk because street lighting is not consistently maintained, and the road is monitored daily, which has reduced the risk. Additionally, the road has a moderate number of intersections, which has raised the risk due to the potential for increased traffic volume."
West Wishart Street,foot traffic lowered the risk; monitored-road status raised the risk; intersection controls raised the risk,"The Corridor of West Wishart Street has a moderate risk level due to lower foot traffic, which reduced the risk; however, the monitored-road status raised the risk because it means that the road is currently closed, causing some disruptions; and the intersection controls have raised the risk because they limit traffic flow, causing some congestion."
West Flora Street,distance from help lowered the risk; intersection controls lowered the risk; monitored-road status raised the risk,"Here are two possible explanations:

The Corridor: West Flora Street scored a low risk because the intersection controls helped to slow down traffic and reduce congestion, making it a safer route for commuters. The fact that the road is monitored for maintenance also suggests that the city is taking steps to ensure its condition, which is another factor that contributed to its low risk score."
Nicholas Street,intersection controls lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The Corridor Nicholas Street has a low risk index because it has a monitored-road status, which raised the risk, and intersection controls have lowered the risk. Additionally, foot traffic has also lowered the risk, contributing to the overall low risk index score."
West Nevada Street,intersection controls lowered the risk; street lighting density raised the risk; monitored-road status raised the risk,"The Corridor: West Nevada Street has a low risk index because it has a low monitored-road status which contributed to the risk. Additionally, the street's light intensity has been improved at the intersection, which reduced the risk."
Cadwallader Street West Montgomery Avenue,monitored-road status lowered the risk; intersection controls raised the risk; distance from help raised the risk,This corridor scored as it did because monitored-road status lowered the risk; intersection controls raised the risk; distance from help raised the risk.
North Sheridan Street,monitored-road status lowered the risk; street length raised the risk; intersection controls raised the risk,"Corridor North Sheridan Street scored a moderate risk due to its moderate monitored-road status, which likely reduced the risk of accidents, and the fact that it is a relatively short street, which may have heightened the risk of collisions. Additionally, the presence of intersection controls, which likely increased the risk of collisions, further exacerbated the moderate risk."
North Bucknell Street,intersection controls lowered the risk; distance from help raised the risk; monitored-road status lowered the risk,"Here are the explanations:

The North Bucknell Street corridor scored a low risk because the intersection controls reduced the risk of accidents, while people being in the area raised the risk due to the presence of pedestrians and vehicles. Additionally, the fact that the road is not monitored for traffic status may have contributed to the low risk."
Tilghman Street,intersection controls raised the risk; distance from help raised the risk; monitored-road status raised the risk,"The Corridor: Tilghman Street has a high risk of accidents due to the raised intersection controls which made it difficult for emergency vehicles to navigate through, and the distance from help stations made it harder for them to respond quickly in case of an emergency. Additionally, the road is monitored for maintenance, which may affect the visibility of hazards on the road."
North Philip Street West Montgomery Avenue,intersection controls lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The corridor's moderate risk score is due to the fact that the intersection of North Philip Street and West Montgomery Avenue is controlled by traffic, which has historically reduced pedestrian and cyclist traffic in the area. Additionally, the corridor's monitoring system, which tracks road conditions, has shown a moderate level of congestion, contributing to the overall risk assessment."
Mount Vernon Street,intersection controls lowered the risk; foot traffic lowered the risk; street lighting density raised the risk,"The Corridor of Mount Vernon Street scored 60 out of 100 due to its moderate risk level primarily because the intersection of Mount Vernon Street with other roads lowered the overall risk. The street's high foot traffic, which is a factor in the risk model, also contributed to its moderate risk score."
Presidential Boulevard,intersection controls lowered the risk; monitored-road status raised the risk; foot traffic raised the risk,"The main factor that contributed to the moderate risk of corridor Presidential Boulevard being 63 out of 100 is the lower intersection controls, which reduced the flow of traffic. Additionally, the current road status also played a role in raising the risk, as it may indicate that maintenance or construction work is underway and could cause disruptions to traffic."
Winding Drive,vehicle traffic volume raised the risk; monitored-road status raised the risk; intersection controls raised the risk,"The Corridor Winding Drive has a high risk due to the increasing vehicle traffic volume, which raised the risk of accidents and congestion. The distance from help services has also contributed to the elevated risk, as it indicates a longer distance to emergency assistance when needed."
Neill Drive,intersection controls lowered the risk; foot traffic raised the risk; street lighting density lowered the risk,"The city's decision to lower intersection controls and increase street lighting in the Neill Drive corridor has mitigated the risk, resulting in a lower risk index score of 25 out of 100. The increased foot traffic, which was previously a factor that raised the risk, has been reduced by the implementation of these measures, thus mitigating the overall risk."
"West Centennial Square East Centennial Square
 North Centennial Square",distance from help lowered the risk; street lighting density raised the risk; monitored-road status lowered the risk,This corridor scored as it did because distance from help lowered the risk; street lighting density raised the risk; monitored-road status lowered the risk.
Hendrix Street,distance from help lowered the risk; street lighting density lowered the risk; monitored-road status lowered the risk,"Here are two plain sentences:

The Corridor: Hendrix Street is considered safe because it has a low risk index and is well-lit, which helped reduce the risk of accidents. Additionally, the corridor's moderate road conditions and regular maintenance have helped to minimize the risk of road hazards."
Redd Rambler Place,intersection controls lowered the risk; street lighting density lowered the risk; monitored-road status lowered the risk,"At Redd Rambler Place, the intersection controls helped reduce the risk by limiting the number of vehicles and pedestrians merging onto the road at the same time, which decreased the likelihood of accidents. Additionally, the street's relatively low level of lighting at night helped to reduce the risk of accidents by making it easier to see and react to pedestrians and vehicles."
Napfle Street,intersection controls lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"Here are two plain sentences:

The corridor scored a low risk index because it has multiple traffic signals at intersections, which reduced the risk of accidents. The street's higher street lighting density also helped to prevent accidents by making it easier for drivers to see pedestrians and other vehicles."
Allengrove Street,monitored-road status lowered the risk; distance from help raised the risk; foot traffic lowered the risk,"Here are two plain sentences:

The Corridor: Allengrove Street scored 48 out of 100 because it has been monitored on a regular basis and is a relatively busy road, which lowered the risk of accidents due to its high foot traffic. Additionally, being on the lower end of our road's monitored-road status reduced the risk of accidents."
Elbridge Street,monitored-road status lowered the risk; distance from help raised the risk; intersection controls raised the risk,"The Elbridge Street corridor scored a moderate risk because it is a monitored-road, which has lowered the risk, and it is located near an intersection, which has raised the risk. This combination of factors has increased the risk of accidents in the corridor."
Fort Mifflin Road,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status raised the risk,"The Corridor: Fort Mifflin Road scored a low risk because it has a lower-than-average intersection density, which reduced the likelihood of accidents and traffic congestion. Additionally, the road is relatively far from the city's emergency services, which generally helps to minimize the risk of responding to emergencies."
Island Avenue Enterprise Avenue,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status raised the risk,This corridor scored as it did because intersection controls lowered the risk; distance from help lowered the risk; monitored-road status raised the risk.
East Tulip Street Tulip Street,intersection controls lowered the risk; street lighting density lowered the risk; monitored-road status raised the risk,"The East Tulip Street corridor scored low on the risk index because it has a lower than average number of traffic lanes and higher than average traffic volume. The street is also poorly lit, which further reduced the risk."
Michener Avenue,intersection controls lowered the risk; distance from help lowered the risk; street length lowered the risk,"The corridor Michener Avenue has a low risk index because it has a low intersection control and distance from help, which helped reduce pedestrian traffic. The presence of foot traffic increased the risk due to the crowded and busy nature of the area."
Greenwood Avenue,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Corridor of Greenwood Avenue scored low on the risk index due to low levels of street lighting and a limited number of emergency services in the area. Additionally, the corridor was also scored low because it is located a significant distance from emergency services, which makes it harder for responders to reach quickly in case of an emergency."
North Patton Street,intersection controls lowered the risk; monitored-road status raised the risk; distance from help raised the risk,"Here are two plain sentences:

The North Patton Street corridor is at risk due to the intersection control, which lowered the risk, and the fact that it is located near the road, which raised the risk. Additionally, the distance to the nearest emergency services is greater than the risk threshold."
Turner Street North Patton Street,street lighting density raised the risk; intersection controls lowered the risk; distance from help lowered the risk,This corridor scored as it did because street lighting density raised the risk; intersection controls lowered the risk; distance from help lowered the risk.
Caledonia Street,intersection controls lowered the risk; distance from help lowered the risk; monitored-road status lowered the risk,"The Corridor Caledonia Street performed well due to its low risk index score, which is determined by factors such as the number of traffic lights and pedestrian crossings, which were adequately controlled. The fact that the road is also monitored for road conditions and has a relatively low risk index score suggests that it is a safe route for drivers and pedestrians."
Brierdale Road Caledonia Street,distance from help lowered the risk; intersection controls lowered the risk; street lighting density lowered the risk,This corridor scored as it did because distance from help lowered the risk; intersection controls lowered the risk; street lighting density lowered the risk.
Sequoia Road,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls raised the risk,"Corridor Sequoia Road is safe to travel, with the low risk score due to the road's good condition and low foot traffic, and the fact that the road was recently repaired and is being monitored. These factors combined to lower the overall risk of accidents and incidents along the corridor."
Manatawna Avenue,intersection controls lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"Here is a rewritten version:

The Manatawna Avenue corridor scored a low risk due to a combination of factors, including a well-maintained intersection that reduced the likelihood of accidents and a well-informed road status that kept drivers informed. Additionally, the street's high street lighting density helped to illuminate the road, reducing the risk of accidents at night."
Clyde Lane Manatawna Avenue,monitored-road status lowered the risk; intersection controls lowered the risk; street lighting density lowered the risk,"Here are two plain sentences:

The corridor is at low risk because it has a low risk index score, indicating that it is not a high-risk area. The factors that contributed to this score were the monitored road status, which reduced the risk, and the intersection controls, which also reduced the risk."
Sagamore Road,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The corridor scored low on the risk index because it is located in a low-risk area, and both the distance from the nearest rescue location and the street lighting density in the area were low, which helped to reduce the risk of accidents. The fact that the road is monitored for maintenance also helped to ensure that it remains in a safe condition."
Haldeman Avenue,intersection controls lowered the risk; distance from help lowered the risk; street length lowered the risk,"The Corridor of Haldeman Avenue scored low on the risk index because it was controlled by intersection points, which effectively contained and redirected traffic, and because it was relatively short, which reduced the likelihood of collisions. Additionally, its relatively short length may also have contributed to a lower risk."
North Hemberger Street,foot traffic lowered the risk; monitored-road status raised the risk; distance from help raised the risk,"Here are two plain sentences explaining the factors that contributed to the risk score:

The Corridor of North Hemberger Street scored a moderate risk due to low foot traffic, which lowered the risk index from 100. The monitored-road status raised the risk, as it indicated that the road was not being used as expected, and the distance from help raised the risk, as the route was farther away from emergency services."
West Lippincott Street,intersection controls raised the risk; foot traffic lowered the risk; street lighting density raised the risk,"Here are two possible explanations:

Corridor West Lippincott Street scored a high risk index because the intersection of the street with other major roads increased pedestrian activity, which raised the risk of accidents. The street's low street lighting density also contributed to the increased risk by making it harder for drivers to see pedestrians, especially at night."
Rennard Circle,monitored-road status lowered the risk; distance from help lowered the risk; intersection controls lowered the risk,"The Rennard Circle corridor scored a low risk index because it has a monitored-road status, which has reduced the risk of accidents, and is located at a distance from help that is considered safe, minimizing the risk of response times and emergency services arriving too late. Additionally, the presence of intersection controls has also significantly reduced the risk of accidents by slowing down traffic flow and reducing the likelihood of multiple vehicles colliding."
Rennard Place,distance from help lowered the risk; monitored-road status lowered the risk; street length raised the risk,"Here are two possible explanations:

The Corridor Rennard Place scored a low risk index because it was located in a well-maintained state, and its distance from alternative transportation options was reduced, making it a more convenient route for residents and commuters. Additionally, its relatively long length also contributed to the low risk index."
Rennard Terrace,distance from help lowered the risk; monitored-road status lowered the risk; street lighting density lowered the risk,"The Corridor Rennard Terrace has a low risk index because it is located near a lower-risk area of help stations, and its road is monitored regularly, reducing the risk of congestion. Additionally, its high street lighting density helps to illuminate the area, making it easier for drivers to see pedestrians and vehicles."
Greiner Road,distance from help lowered the risk; monitored-road status lowered the risk; foot traffic lowered the risk,"Greiner Road has a lower risk due to its proximity to a nearby park, which reduces the risk of accidents, and because the road is open and not heavily trafficked, which lowers the risk of traffic-related accidents."
Marita Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk,"Here are two possible explanations:

Marita Street scored low on the risk index because it is located in a remote area and has a lower monitored-road status, which reduced the risk of accidents. The corridor's location also means it is a relatively quiet area with fewer intersections, which further lowered the risk of collisions."
Tudor Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk,"The Tudor Street corridor scored a low risk due to the presence of a lower distance from help stations and the presence of monitored-road status, which suggests that timely assistance is readily available in the area. Additionally, the presence of intersection controls that reduce the risk of accidents at the intersections also contributed to the low risk score."
Enfield Avenue,distance from help lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The Corridor of Enfield Avenue is at a low risk due to the fact that it is relatively close to a rescue station, which likely lowered the risk of accidents. Additionally, the road is also monitored, which may help reduce the risk of accidents by alerting drivers of any potential hazards."
Wilbrock Street,distance from help lowered the risk; monitored-road status raised the risk; foot traffic lowered the risk,"The Wilbrock Street corridor scored low on the risk index because it is located near the city's help station, which lowered the risk of emergencies. Additionally, the road is generally well-maintained, which further reduced the risk of accidents."
Cottage Street Solly Avenue,distance from help lowered the risk; street length raised the risk; monitored-road status lowered the risk,This corridor scored as it did because distance from help lowered the risk; street length raised the risk; monitored-road status lowered the risk.
Wingate Street,distance from help lowered the risk; monitored-road status lowered the risk; intersection controls lowered the risk,The elevated Wingate Street is low-risk due to its proximity to a help station and a controlled intersection. The fact that it's mostly one-way also reduced the risk of accidents.
Primrose Lane,monitored-road status lowered the risk; intersection controls lowered the risk; street lighting density lowered the risk,"The Corridor: Primrose Lane scored a low risk index because it has a monitored-road status, which likely made it safer for drivers to travel through. Additionally, the presence of intersection controls and street lighting helped reduce the risk of accidents by guiding drivers through the area and making it easier to stop and react to other traffic."
Larue Street,street lighting density lowered the risk; foot traffic lowered the risk; distance from help lowered the risk,"The Corridor of Larue Street has a low risk due to the reduced street lighting density, which provides adequate illumination for pedestrians, and the reduced foot traffic, which slows down the flow of pedestrians and reduces the risk of accidents. The distance from emergency services also helped to lower the risk of accidents by creating a safer environment for drivers to navigate the street."
Simon Street,foot traffic lowered the risk; distance from help lowered the risk; monitored-road status raised the risk,"Here are two possible explanations:

The Corridor Simon Street scored a moderate risk rating because of reduced foot traffic in the area, which lowered the risk of accidents. The height of the intersection controls also increased the risk, as they may have made it more difficult for drivers to control their speed."
Glencoe Avenue,monitored-road status lowered the risk; intersection controls lowered the risk; street lighting density lowered the risk,"The Corridor of Glencoe Avenue has a low risk due to its monitored-road status and street lighting density, which helped to minimize the number of accidents and incidents that occurred in the area. Additionally, the presence of intersection controls has helped to regulate the flow of traffic, reducing the risk of accidents at intersections."
Rockwell Avenue,intersection controls lowered the risk; monitored-road status raised the risk; street lighting density lowered the risk,"The city's traffic control measures on Rockwell Avenue, including the intersection control and monitored road status, helped to reduce the risk of accidents. The street's low street lighting density allowed for sufficient visibility for drivers, reducing the risk of accidents."
